AGS,lon,lat,county,state,fair_dic,gem_women_share,gem_pop_density,gem_council,gem_cdu_biggest,pop_tot,rot_nearest_neighbor,rot_adel_int1,rot_uradel_int,rot_fem_share,rot_adel_fem,childlabor_mean_1898,ue_longterm,support_expenses_total_capita,law_cat,state_1898,welfare_recip_capita,elev_mean,river_dist_min,roman,peas_total,dist_wttb,law_cc_combined,suminc31_gini,suminc31_mean,suminc31_median,log_suminc31_gini,log_suminc31_mean,log_suminc31_median,inc_rental_gini,inc_rental_mean,inc_rental_median,log_inc_rental_gini,log_inc_rental_mean,log_inc_rental_median,rot_scaled,rot_scaled_uradel,rot_scaled_fem
AGS_05154044,6.42040145,51.77344363,county_05154,state_05,0,0.176470588235294,-0.3396903666619053,1.1115842725307186,1,21303,1,0,0,0.181818181818182,6,5.95,345,3.73993298905693,law_pruss_law,STAAT_Preussen_1898,0.0873427878155119,9.90652513812788,NA,1,0,428.818828919333,0.0712592296687269,NA,NA,NA,NA,NA,NA,0.6908405,4228.028,705,-0.369846306750094,8.34949096948475,6.55819780281227,-0.6488027535941345,-0.4286575391366834,0.33593500009109967
AGS_01059032,9.61633162,54.46031814,county_01059,state_01,0,NA,NA,NA,NA,357,1,0.0288461538461538,0,0.105769230769231,11,5.95,3,3.69891308552199,law_dan_law,STAAT_Preussen_1898,0.0955280972393487,13.9493474207582,NA,0,0,352.439725559995,0,0.4631659,26384.89,20826.5,-0.769669973740739,10.1805467767956,9.94398149325262,0.4713618,2315.953,1241,-0.752129326977892,7.7475765448773,7.12367278520461,0.2274350889177801,-0.4286575391366834,1.07640290337829
AGS_01057007,10.67199333,54.28012046,county_01057,state_01,0,NA,NA,NA,NA,1680,1,0.05,0.0166666666666667,0,0,5.95,13,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0793454698025687,20.2446165966387,NA,0,0,299.282634684526,0,0.4815376,21390.06,16583,-0.73077096148851,9.97068160712161,9.7161333532141,0.5760425,3326.106,316,-0.551573836285982,8.10955752935928,5.75574221358691,0.8700095067598533,1.4880243227144487,-0.5526264838535286
AGS_05915000,7.82358606,51.66517444,county_05915,state_05,0,0.293103448275862,1.2244538392017046,3.442791941578827,1,NA,0,0.00840336134453781,0,0.0252100840336134,3,5.95,NA,3.20155542806145,law_pruss_law,STAAT_Preussen_1898,0.144238212183482,37.0048540858094,NA,0,0,333.156060902029,0,NA,NA,NA,NA,NA,NA,0.6675188,3959.316,608,-0.404187724310345,8.28382656205673,6.41017488196617,-0.3935401888287586,-0.4286575391366834,-0.1083457418812145
AGS_09272127,13.51418378,48.85823739,county_09272,state_09,0,0.125,-0.653592377101086,-0.6368214792553625,1,3326,1,0.0425531914893617,0,0.0425531914893617,2,1.95,15,2.91132944755536,law_common_law,STAAT_Bayern_1898,0.0384241493988232,375.311111111111,NA,1,0,340.274134596102,0,0.4438021,21377.28,18475,-0.81237653663364,9.97008395478314,9.8241737458164,0.5907964,1192.677,0,-0.526283821776111,7.08395563942115,NA,0.6438034254305359,-0.4286575391366834,-0.25643932253865254
AGS_01057023,10.16848378,54.22340251,county_01057,state_01,0,NA,NA,NA,NA,197,1,0,0,0.3,9,5.95,5,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0793454698025687,20.3058419243986,NA,0,0,310.294311148179,0,0.4703089,26414.03,22737,-0.754365566119187,10.1816505873644,10.0317488324801,NA,NA,NA,NA,NA,NA,-0.6488027535941345,-0.4286575391366834,0.7802157420634138
AGS_01058134,9.64917251,54.12417283,county_01058,state_01,0,NA,NA,NA,NA,425,1,0,0,0.372093023255814,16,5.95,3,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0802939005717181,15.0726063829787,NA,0,0,321.630678207604,0,0.5019135,26686.97,19743,-0.689327484894584,10.191930710289,9.89055427712423,0.7116345,2920.436,75,-0.340190842072262,7.97948819918444,4.31748811353631,-0.6488027535941345,-0.4286575391366834,1.8168708066654802
AGS_01058011,9.76483124,54.16709459,county_01058,state_01,0,NA,NA,NA,NA,712,1,0,0,0.372093023255814,16,5.95,2,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0802939005717181,17.5375294326714,NA,0,0,320.589670873466,0,0.4406696,26595.55,22422,-0.819459890679832,10.1884991875416,10.0177978987135,0.6972467,3904.533,705.5,-0.360615985364907,8.26989346485341,6.55890677129287,-0.6488027535941345,-0.4286575391366834,1.8168708066654802
AGS_01057086,10.15804363,54.18988674,county_01057,state_01,0,NA,NA,NA,NA,365,1,0,0,0.3,9,5.95,2,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0793454698025687,21.9009840098401,NA,0,0,307.560169828966,0,0.4672196,29683.49,24102,-0.760955896293288,10.2983462779695,10.0900501035873,0.7081936,3842.27,443,-0.345037776340367,8.25381861675724,6.09356977004514,-0.6488027535941345,-0.4286575391366834,0.7802157420634138
AGS_01058139,10.02202736,54.25502059,county_01058,state_01,0,NA,NA,NA,NA,817,1,0,0,0.3,9,5.95,6,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0802939005717181,14.2992357436802,NA,0,0,318.538781386178,0,0.4458773,27206.56,22847,-0.807711476919974,10.2112133996763,10.0365750966745,0.5332592,3394.824,398,-0.628747669083769,8.13000719770645,5.98645200528444,-0.6488027535941345,-0.4286575391366834,0.7802157420634138
AGS_01058023,9.88905163,54.17685354,county_01058,state_01,0,NA,NA,NA,NA,414,1,0,0,0.3,9,5.95,2,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0802939005717181,13.5640735146022,NA,0,0,316.518188412878,0,0.5289954,29527.76,20430.5,-0.636775542813819,10.2930861167982,9.92478416132521,0.5843212,4007.089,1139,-0.537304447348475,8.29582032152,7.03790596344718,-0.6488027535941345,-0.4286575391366834,0.7802157420634138
AGS_01057037,10.13918096,54.22468399,county_01057,state_01,0,NA,NA,NA,NA,256,1,0,0,0.3,9,5.95,NA,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0793454698025687,20.0920032639739,NA,0,0,311.466052949924,0,0.5298072,33210.58,21946,-0.635242112202536,10.4106237788374,9.99634016955075,0.5035933,2679.429,1291,-0.685986281110137,7.89335899110297,7.16317239084664,-0.6488027535941345,-0.4286575391366834,0.7802157420634138
