age,male,freshman,sophomore,junior,senior,fraternity,abstainer,lightdrinker,moddrinker,heavydrinker,marijuana,gpa,work,drinks
21,1,0,0,0,1,0,0,1,0,0,0,3,0,3
19,1,1,0,0,0,0,0,0,1,0,0,1.6667,1,3
19,0,1,0,0,0,0,1,0,0,0,0,4,1,0
19,0,0,1,0,0,0,0,1,0,0,1,2.6666999,1,2
19,1,1,0,0,0,0,1,0,0,0,0,1.6667,0,0
20,0,0,0,1,0,0,0,1,0,0,0,3.6666999,1,4
19,1,1,0,0,0,0,1,0,0,0,0,1.6667,1,0
20,0,0,1,0,0,0,0,1,0,0,0,3.6666999,1,5
20,0,0,0,1,0,0,0,1,0,0,1,4,0,2
21,0,0,0,0,1,0,0,1,0,0,1,3.6666999,0,2
19,1,0,1,0,0,0,0,1,0,0,0,3,1,0
18,0,1,0,0,0,0,1,0,0,0,0,3,0,0
20,0,0,0,1,0,0,0,0,1,0,1,3,0,6
20,0,0,1,0,0,0,0,1,0,0,0,3,1,4
19,0,0,1,0,0,0,1,0,0,0,0,3,1,0
21,1,0,0,1,0,0,1,0,0,0,0,4,1,0
22,1,0,0,1,0,0,0,0,1,0,0,3.6666999,1,3
19,0,1,0,0,0,0,0,0,1,0,1,3.3333001,0,6
20,1,1,0,0,0,0,0,1,0,0,0,3,1,8
19,0,0,1,0,0,1,0,0,1,0,1,2.3333001,1,6
21,0,0,0,1,0,0,0,1,0,0,1,3.3333001,0,4
22,0,0,0,0,1,1,0,0,0,1,1,2.6666999,1,6
22,1,0,0,0,1,0,0,1,0,0,0,3.6666999,1,3
20,1,0,1,0,0,0,0,1,0,0,0,3,1,0
18,0,1,0,0,0,0,0,0,1,0,0,2.3333001,1,8
21,0,0,0,1,0,0,0,1,0,0,0,3.3333001,0,2
21,0,0,0,0,1,0,1,0,0,0,0,3.3333001,1,0
20,1,0,1,0,0,0,0,1,0,0,0,3.3333001,1,5
25,0,0,0,1,0,0,1,0,0,0,0,3.6666999,0,0
20,0,0,1,0,0,0,0,0,0,0,1,3.6666999,0,3
20,0,0,0,1,0,0,0,1,0,0,0,3.3333001,1,4
20,0,0,0,1,0,0,0,1,0,0,1,3.3333001,1,3
19,1,1,0,0,0,0,1,0,0,0,0,2.6666999,0,0
18,1,1,0,0,0,0,0,0,1,0,0,2.6666999,0,9
25,0,0,1,0,0,0,0,0,1,0,0,3,0,1
19,0,1,0,0,0,0,0,0,0,1,0,3.3333001,0,6
22,0,0,0,0,1,1,0,0,1,0,1,2.6666999,1,4
21,1,0,0,1,0,0,0,0,1,0,0,2.6666999,1,9
22,0,0,0,1,0,0,0,0,1,0,0,2,0,5
21,1,0,0,0,1,0,0,1,0,0,0,3,1,3
18,1,1,0,0,0,0,0,0,1,0,0,3,1,8
18,0,1,0,0,0,0,0,1,0,0,0,3.3333001,0,2
20,1,0,0,1,0,0,0,0,1,0,0,3.6666999,1,9
20,1,0,1,0,0,0,1,0,0,0,0,3.3333001,1,0
25,0,0,0,0,1,0,0,0,1,0,0,3.6666999,1,2
20,1,0,1,0,0,1,0,0,1,0,0,3.3333001,1,7
22,0,0,0,1,0,0,0,1,0,0,1,2,0,3
19,0,0,0,1,0,0,0,1,0,0,0,3.3333001,1,0
21,0,0,0,1,0,0,0,0,1,0,0,2.6666999,1,3
19,1,1,0,0,0,0,0,0,1,0,1,3,1,4
21,1,0,0,0,1,0,0,0,1,0,0,3.6666999,1,5
22,1,0,0,0,1,0,0,1,0,0,0,3.6666999,0,2
21,1,0,1,0,0,0,0,1,0,0,0,2.6666999,0,1
18,0,1,0,0,0,1,0,1,0,0,0,2.3333001,1,4
21,0,0,0,0,1,0,0,1,0,0,0,3.6666999,1,1
21,1,0,0,0,1,0,0,0,0,1,1,4,0,7
19,0,1,0,0,0,0,0,1,0,0,0,3.6666999,0,3
25,0,0,0,1,0,0,0,1,0,0,0,3.6666999,0,1
19,1,1,0,0,0,0,0,1,0,0,0,2,0,0
19,0,0,1,0,0,0,0,1,0,0,0,3.3333001,1,0
24,1,0,0,0,1,0,0,0,1,0,0,3,1,2
21,0,0,0,0,1,0,0,1,0,0,1,3.3333001,1,3
19,1,0,1,0,0,0,0,1,0,0,0,4,1,5
19,0,1,0,0,0,0,0,1,0,0,1,3.3333001,1,0
20,0,0,0,1,0,0,0,1,0,0,0,3,0,4
22,0,1,0,0,0,1,1,0,0,0,0,2.6666999,1,0
19,0,0,1,0,0,0,1,0,0,0,0,4,1,0
22,1,0,0,0,1,0,0,0,0,1,0,3.6666999,0,9
